original_value,encoded_value
Apple,0
Kinnow,8
Banana,1
Guava,5
Grapes,4
Papaya,13
Pomegranate,17
Orange,12
Water Melon,19
Tamarind Fruit,18
Mango,11
Lime,9
Cherry,2
Jack Fruit,6
Litchi,10
Pear(Marasebu),15
Plum,16
Peach,14
Jamun(Narale Hannu),7
Custard Apple (Sharifa),3
